ACS Catalysis                                                     ;  ACS Catal.  
Journal of Radioanalytical and Nuclear Chemistry                  ;  J. Radioanal. Nucl.
Advanced Energy Materials                                         ;  Adv. Energy Mater.
Journal of Materials Chemistry A                                  ;  J. Mater. Chem. A
Journal of Structural Chemistry                                   ;  J. Struct. Chem.
Nature Communications                                             ;  Nat. Commun.
Nano Research                                                     ;  Nano Res.
Physical Review B: Condensed Matter                               ;  Phys. Rev. B: Condens. Matter.
Advances in Catalysis                                             ;  Adv. Catal.
Physical review letters                                           ;  Phys. Rev. Lett.
Computational Materials Science                                   ;  Comput. Mater. Sci.
Science advances                                                  ;  Sci. Adv.
Science China Materials                                           ;  Sci. China Mater.
Nano Energy                                                       ;  Nano Energy
Chemical Communications                                           ;  Chem. Commun. 
npj Computational Materials                                       ;  Npj Comput. Mater.
Journal of Chemical Education                                     ;  J. Chem. Educ. 
Chemical reviews                                                  ;  Chem. Rev.
Advanced Materials                                                ;  Adv. Mater.
Nature Nanotechnology                                             ;  Nat. Nanotechnol.
Computer Physics Communications                                   ;  Comput. Phys. Commun.
Nature Catalysis                                                  ;  Nat. Catal.
Advanced Functional Materials                                     ;  Adv. Funct. Mater.
ACS Applied Energy Materials                                      ;  ACS Appl. Energy Mater.
ChemPhysChem                                                      ;  ChemPhysChem
International Journal of Hydrogen Energy                          ;  Int. J. Hydrog. Energy
Journal of Computational Chemistry                                ;  J. Comput. Chem.
Nature Reviews Chemistry                                          ;  Nat. Rev. Chem.
Annual Review of Condensed Matter Physics                         ;  Annu. Rev. Condens. Matter Phys.
Nature Chemistry                                                  ;  Nat. Chem.
Nature Physics                                                    ;  Nat. Phys.
Nature Energy                                                     ;  Nat. Energy.
